game_pk,batter,ab,bb,hbp,single,double,triple,hr,sf
718767,680757,4,0,0,0,0,0,0,0
718767,642708,4,0,0,1,0,0,0,0
718767,608070,4,0,0,0,1,0,0,0
718767,605137,4,0,0,1,0,0,0,0
718767,647304,3,0,0,0,0,0,0,0
718767,665926,3,0,0,0,0,0,0,0
718767,686823,3,0,0,1,0,0,0,0
718767,572287,3,0,0,0,0,0,0,0
718767,664702,3,0,0,0,0,0,0,0
718768,641313,4,1,0,1,1,0,0,0
718768,673357,4,0,0,2,0,0,0,0
718768,683734,4,0,1,0,1,0,0,0
718768,650391,5,0,0,0,0,0,0,0
718768,660162,5,0,0,1,0,0,0,0
718768,643217,4,0,0,1,0,0,0,0
718768,518735,4,0,0,0,0,0,1,0
718768,462101,4,0,0,1,0,0,0,0
718768,663853,2,0,0,1,0,0,0,0
718769,621493,4,0,0,1,0,0,0,0
718769,545361,3,1,0,0,0,0,0,0
718769,660271,3,0,0,1,0,0,0,0
718769,543685,3,1,0,0,0,0,0,0
718769,592669,4,0,0,0,0,0,0,0
718769,650859,3,1,0,0,0,0,0,0
718769,592273,4,0,0,0,0,0,0,0
718769,570482,4,0,0,2,0,0,0,0
718769,681351,3,0,0,1,0,0,0,0
718770,641786,4,0,0,0,0,0,0,0
718770,606466,3,0,1,1,0,0,0,0
718770,666971,4,0,0,1,0,0,0,0
718770,572233,3,0,0,1,0,0,0,0
718770,446334,3,0,0,0,0,0,0,0
718770,605113,3,0,0,0,1,0,0,0
718770,682998,3,0,0,0,0,0,0,0
718770,672515,2,0,0,0,0,0,0,1
718770,664983,3,0,0,0,0,0,0,0
718772,543807,6,0,0,5,0,0,0,0
718772,666182,6,0,0,3,1,0,0,0
718772,665489,4,0,1,2,0,0,0,1
718772,662139,5,0,0,0,1,0,0,1
718772,672386,5,0,0,1,0,0,0,0
718772,474832,4,0,0,0,1,0,0,0
718772,656305,5,0,0,3,0,0,0,0
718772,593160,3,2,0,0,0,0,0,0
718772,595281,5,0,0,2,0,0,0,0
718773,665833,2,2,0,0,0,0,1,1
718773,668804,4,1,0,1,0,0,0,0
718773,457705,2,3,0,1,0,0,0,0
718773,467793,4,1,0,0,0,0,0,0
718773,675986,5,0,0,1,0,0,0,0
718773,663647,4,0,0,0,0,0,0,0
718773,669261,4,0,0,0,0,0,0,0
718773,678225,3,1,0,1,1,0,0,0
718773,595978,2,1,0,0,0,0,0,0
718774,607043,3,1,0,0,1,0,0,1
718774,516782,4,1,0,2,0,0,0,0
718774,596019,4,0,0,1,0,0,0,1
718774,624413,4,1,0,0,0,0,0,0
718774,643446,4,0,0,2,0,0,0,0
718774,592192,3,0,1,0,0,0,0,0
718774,596129,1,1,0,0,0,0,0,0
718774,500871,4,0,0,1,0,0,0,0
718774,553882,3,1,0,1,0,0,0,0
718775,596146,5,0,0,0,0,0,0,0
718775,621043,5,0,0,1,0,0,0,0
718775,621439,5,0,0,1,0,1,0,0
718775,663616,4,1,0,2,0,0,0,0
718775,669304,3,2,0,0,0,0,0,0
718775,624503,2,0,0,0,0,0,0,0
718775,608336,2,0,0,1,0,0,0,0
718775,543877,4,0,0,2,0,0,0,0
718775,572191,4,0,0,1,0,0,0,0
718776,663837,3,0,0,0,0,0,0,0
718776,595879,3,1,0,1,0,0,0,0
718776,682985,3,1,0,1,0,0,0,0
718776,606992,4,0,0,0,0,0,0,0
718776,679529,4,0,0,0,0,0,0,0
718776,640457,4,0,0,2,1,0,0,0
718776,408234,4,0,0,0,1,0,0,0
718776,570731,2,1,0,0,0,0,0,0
718776,668952,3,0,0,0,0,0,0,0
718777,592885,2,2,0,0,0,0,0,0
718777,608385,4,0,0,0,0,0,0,0
718777,642715,3,1,0,1,0,0,0,0
718777,642133,3,1,0,0,0,0,0,0
