,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,490099,W,2017-04-02,CHC,STL,3,4,452657,593372,656941,592178,519203,450314,608365,518792,575929,452657,595879,451594,649557,572761,425509,425877,572039,576397,545341,593372
1,490106,W,2017-04-02,NYY,TB,3,7,547888,502042,458731,596142,595885,407812,453056,516770,452104,592450,591720,572816,595281,446334,543543,519306,489149,542921,605480,519083
2,490110,W,2017-04-02,SF,AZ,5,6,518516,425844,452655,474832,452254,457763,543063,456488,592620,605412,518516,572041,572008,502671,571875,630111,592273,444482,425772,425844
3,490112,W,2017-04-03,TOR,BAL,2,3,462136,592332,581527,518626,430832,434778,453064,431145,456665,607680,485567,452234,430945,592518,448801,444432,456078,547957,570731,429666
4,490111,W,2017-04-03,SEA,HOU,0,3,433587,572971,516416,571745,429664,443558,572122,502143,547982,572287,502481,543807,608324,514888,621043,136860,502210,493329,435263,493114
5,490109,W,2017-04-03,SD,LAD,3,14,468504,477132,622534,571976,500208,592669,572114,595978,430947,468504,608671,592808,608369,457759,408236,523253,592626,518735,477132,624577
6,490108,W,2017-04-03,PIT,BOS,3,5,543037,519144,624428,516782,457705,570256,501896,465041,605137,543281,474568,456030,643217,605141,434670,519048,593428,598265,467055,506702
7,490107,L,2017-04-03,PHI,CIN,4,3,476451,444857,514917,435062,546318,596748,459431,571830,519237,520471,476451,571740,606299,458015,594807,553993,594988,446359,571466,444857
8,490105,W,2017-04-03,MIA,WSH,2,4,450172,544931,543829,592663,592885,519317,571506,542303,518618,588751,450172,607208,594809,547180,502517,475582,150029,452220,446308,544931
9,490104,W,2017-04-03,LAA,OAK,2,4,445060,608665,488862,594777,545361,405395,543068,457727,592743,457787,455117,434658,459964,592387,501981,519390,476704,461858,475174,543760
10,490103,W,2017-04-03,KC,MIN,1,7,518633,429722,460086,519058,456715,543333,521692,461235,449181,444876,609275,572821,543257,621439,408045,593934,488771,593871,596146,592696
11,490101,L,2017-04-03,COL,MIL,7,5,592351,448855,453568,518934,471865,571448,596115,467827,448602,547172,592351,542340,519346,460075,543768,570267,542979,542908,606115,448855
12,490100,L,2017-04-03,CLE,TEX,8,5,446372,506433,467793,596019,488726,429665,608070,543228,571980,650490,501659,460576,425783,608577,435063,596059,518960,608336,462101,595777
13,490098,W,2017-04-03,ATL,NYM,0,6,527054,592789,542255,621020,518692,461314,455976,408252,611177,452095,527054,408314,452678,493316,434158,435522,457803,446263,425784,592789
14,490136,L,2017-04-04,CHC,STL,2,1,453562,425794,656941,592178,519203,608365,575929,518792,595879,453562,546991,451594,649557,572761,425509,425877,572039,545341,543939,425794
15,490119,W,2017-04-04,SEA,HOU,1,2,547874,621121,516416,571745,429664,443558,572122,502143,547982,572287,502481,543807,608324,514888,621043,136860,502210,594828,435263,503556
16,490118,L,2017-04-04,SF,AZ,8,4,456501,571578,491676,474832,452254,457763,543063,456488,502029,605412,456501,572041,444482,502671,571875,630111,592273,572008,425772,571578
17,490117,L,2017-04-04,SD,LAD,4,0,453385,628317,608671,622534,571976,500208,572114,592669,595978,430947,453385,523253,608369,457759,429711,624577,408236,518735,571771,628317
18,490102,L,2017-04-04,DET,CWS,6,3,434378,500779,435079,592206,408234,400121,457708,543484,543510,592444,578428,573135,641313,466320,547989,453943,605125,541645,553882,594576
19,490115,L,2017-04-04,LAA,OAK,7,6,533167,640455,488862,594777,545361,405395,527043,457727,592743,457787,455117,434658,459964,592387,501981,519390,476704,461858,475174,543760
20,490114,L,2017-04-04,COL,MIL,6,5,542881,605200,453568,518934,471865,571448,596115,467827,448602,547172,542881,542340,542979,460075,570267,543768,542583,542908,606115,605200
21,490113,L,2017-04-04,CLE,TEX,4,3,471911,527048,467793,596019,488726,429665,608070,446386,650490,543228,457706,460576,425783,608577,435063,596059,607387,608336,462101,455139
22,490116,L,2017-04-04,NYY,TB,5,0,282332,543606,458731,596142,595885,407812,453056,516770,452104,592450,591720,519306,595281,446334,430001,542921,543543,519083,621002,488721
23,490129,W,2017-04-05,PHI,CIN,0,2,595191,605232,514917,435062,546318,596748,571830,571437,519237,520471,595191,571740,606299,458015,594807,553993,594988,446359,571466,605232
24,490134,W,2017-04-05,TOR,BAL,1,3,457918,605164,581527,518626,430832,434778,453064,431145,456665,475253,607680,572073,430945,592518,444432,448801,641820,456078,570731,429666
25,490132,W,2017-04-05,SF,AZ,6,8,519043,592836,491676,474832,452254,457763,543063,456488,592620,605412,519043,572041,572008,502671,571875,630111,592273,455104,605113,592836
26,490131,W,2017-04-05,SD,LAD,1,3,502239,448179,622534,571976,500208,592669,572114,595978,430947,502239,608671,592808,608369,457759,408236,523253,592626,518735,624577,448179
27,490130,W,2017-04-05,PIT,BOS,0,3,592791,519242,474568,516782,457705,570256,501896,465041,543281,605137,624428,456030,643217,593428,434670,519048,455759,598265,467055,506702
