,game_sequence,game_pk,team,is_home,batter,batting_order,ab,bb,hbp,single,double,triple,hr,sf
0,1,661042,HOU,False,514888,1,4,1,0,0,0,0,0,0
1,1,661042,HOU,False,488726,2,5,0,0,1,1,0,0,0
2,1,661042,HOU,False,608324,3,4,0,0,1,0,0,1,0
3,1,661042,HOU,False,670541,4,3,1,0,0,0,0,1,0
4,1,661042,HOU,False,493329,5,4,0,0,0,1,0,0,0
5,1,661042,HOU,False,663656,6,3,0,0,0,0,0,0,0
6,1,661042,HOU,False,665161,7,4,0,0,0,0,0,0,0
7,1,661042,HOU,False,676801,8,4,0,0,0,2,0,0,0
8,1,661042,HOU,False,455117,9,4,0,0,0,0,0,0,0
9,1,661042,LAA,True,660271,1,4,0,0,0,0,0,0,0
10,1,661042,LAA,True,545361,2,3,1,0,1,0,0,0,0
11,1,661042,LAA,True,543685,3,4,0,0,0,0,0,0,0
12,1,661042,LAA,True,622110,4,3,0,0,2,0,0,0,0
13,1,661042,LAA,True,666176,5,3,0,0,0,0,0,0,0
14,1,661042,LAA,True,665120,6,3,0,0,0,0,0,0,0
15,1,661042,LAA,True,545358,7,3,0,0,0,0,0,0,0
16,1,661042,LAA,True,669016,8,2,0,1,0,0,0,0,0
17,1,661042,LAA,True,664058,9,3,0,0,0,0,1,0,0
18,2,661577,CIN,False,663697,1,5,0,0,2,0,0,0,0
19,2,661577,CIN,False,606157,2,5,0,0,1,0,0,0,0
20,2,661577,CIN,False,502054,3,3,1,0,0,0,0,0,0
21,2,661577,CIN,False,458015,4,4,0,0,1,0,0,0,0
22,2,661577,CIN,False,663886,5,2,0,1,0,0,0,0,1
23,2,661577,CIN,False,669222,6,4,0,0,1,0,0,0,0
24,2,661577,CIN,False,519058,7,4,0,0,1,0,0,0,0
25,2,661577,CIN,False,571657,8,4,0,0,2,0,0,0,0
26,2,661577,CIN,False,592273,9,4,0,0,1,0,0,1,0
27,2,661577,ATL,True,592696,1,3,1,0,0,0,0,0,0
28,2,661577,ATL,True,621566,2,2,2,0,0,0,0,0,0
29,2,661577,ATL,True,663586,3,4,0,0,2,0,0,1,0
30,2,661577,ATL,True,542303,4,3,1,0,0,0,0,0,0
31,2,661577,ATL,True,645277,5,4,0,0,1,0,0,0,0
32,2,661577,ATL,True,594807,6,3,1,0,0,0,0,0,0
33,2,661577,ATL,True,518595,7,4,0,0,0,0,0,0,0
34,2,661577,ATL,True,543105,8,2,0,0,0,0,0,0,0
35,2,661577,ATL,True,621020,9,4,0,0,0,0,0,0,0
36,3,662021,PIT,False,596129,1,3,0,0,0,0,0,0,0
37,3,662021,PIT,False,668804,2,4,0,0,1,0,0,0,0
38,3,662021,PIT,False,663647,3,1,0,0,0,0,0,0,0
39,3,662021,PIT,False,660294,4,3,0,0,2,0,0,0,0
40,3,662021,PIT,False,621028,5,4,0,0,1,0,0,0,0
41,3,662021,PIT,False,657061,6,3,0,0,0,0,0,0,0
42,3,662021,PIT,False,592325,7,2,1,0,0,0,0,0,0
43,3,662021,PIT,False,547379,8,2,1,0,1,0,0,0,0
44,3,662021,PIT,False,660829,9,3,0,0,1,0,0,0,0
45,3,662021,STL,True,666185,1,3,0,1,0,1,0,0,1
46,3,662021,STL,True,502671,2,1,4,0,1,0,0,0,0
47,3,662021,STL,True,641933,3,3,1,0,1,0,0,1,1
48,3,662021,STL,True,571448,4,4,1,0,0,0,0,1,0
49,3,662021,STL,True,405395,5,5,0,0,0,0,0,0,0
50,3,662021,STL,True,657557,6,3,1,0,0,0,0,0,0
51,3,662021,STL,True,425877,7,4,0,0,0,0,0,0,0
52,3,662021,STL,True,664056,8,4,0,0,1,1,0,0,0
53,3,662021,STL,True,669242,9,4,0,0,0,0,0,1,0
54,4,662571,NYM,False,516782,1,5,0,0,1,0,0,0,0
55,4,662571,NYM,False,605204,2,4,1,0,0,1,0,0,0
56,4,662571,NYM,False,596019,3,5,0,0,1,0,0,0,0
57,4,662571,NYM,False,624413,4,4,0,1,2,0,0,0,0
58,4,662571,NYM,False,500871,5,4,1,0,0,1,0,0,0
59,4,662571,NYM,False,429664,6,3,1,0,2,0,0,0,0
60,4,662571,NYM,False,592192,7,3,1,0,2,0,0,0,0
61,4,662571,NYM,False,643446,8,4,0,0,2,0,0,0,0
62,4,662571,NYM,False,543510,9,2,0,2,0,0,0,0,0
63,4,662571,WSH,True,514917,1,4,0,0,1,0,0,0,0
64,4,662571,WSH,True,665742,2,3,1,0,0,0,0,1,0
65,4,662571,WSH,True,443558,3,4,0,0,0,0,0,0,0
66,4,662571,WSH,True,605137,4,4,0,0,1,0,0,0,0
67,4,662571,WSH,True,660688,5,4,0,0,1,1,0,0,0
68,4,662571,WSH,True,657041,6,3,1,0,0,0,0,0,0
69,4,662571,WSH,True,596748,7,4,0,0,0,0,0,0,0
70,4,662571,WSH,True,444876,8,4,0,0,1,0,0,0,0
71,4,662571,WSH,True,645302,9,2,0,0,0,0,0,0,0
72,5,662766,CLE,False,664702,1,4,1,0,2,0,0,0,0
73,5,662766,CLE,False,642708,2,4,0,0,1,0,0,0,0
74,5,662766,CLE,False,608070,3,4,0,0,0,1,0,0,0
75,5,662766,CLE,False,614177,4,4,0,0,1,0,0,0,0
76,5,662766,CLE,False,656252,5,2,0,0,0,0,0,0,0
77,5,662766,CLE,False,644374,6,4,0,0,0,0,0,0,0
78,5,662766,CLE,False,680757,7,2,2,0,1,0,0,0,0
79,5,662766,CLE,False,595978,8,4,0,0,0,0,0,0,0
80,5,662766,CLE,False,665926,9,4,0,0,1,0,0,0,0
81,5,662766,KC,True,593160,1,4,0,0,1,0,0,0,0
82,5,662766,KC,True,677951,2,4,0,0,0,1,0,0,0
83,5,662766,KC,True,643217,3,4,0,0,1,0,0,0,0
84,5,662766,KC,True,521692,4,4,0,0,0,0,0,0,0
85,5,662766,KC,True,467793,5,2,1,0,0,0,0,0,0
86,5,662766,KC,True,641531,6,3,0,0,0,0,0,0,0
87,5,662766,KC,True,609275,7,3,0,0,0,0,0,0,0
88,5,662766,KC,True,572191,8,2,1,0,0,0,0,0,0
89,5,662766,KC,True,670032,9,2,0,0,0,1,0,0,0
90,6,663178,MIL,False,543939,1,5,0,0,1,0,0,0,0
91,6,663178,MIL,False,642715,2,5,0,0,1,1,0,0,0
92,6,663178,MIL,False,592885,3,3,1,0,0,0,0,0,1
93,6,663178,MIL,False,457705,4,5,0,0,1,1,0,0,0
94,6,663178,MIL,False,642133,5,4,0,0,2,0,0,0,0
