game_pk,date,team,prev_0_game_pk,prev_1_game_pk,prev_2_game_pk,prev_3_game_pk,prev_4_game_pk,prev_5_game_pk,prev_6_game_pk,prev_7_game_pk,prev_8_game_pk,prev_9_game_pk
718780,2023-03-30,ATL,,,,,,,,,,
718753,2023-04-01,ATL,718780.0,,,,,,,,,
718743,2023-04-02,ATL,718753.0,718780.0,,,,,,,,
718727,2023-04-03,ATL,718743.0,718753.0,718780.0,,,,,,,
718711,2023-04-04,ATL,718727.0,718743.0,718753.0,718780.0,,,,,,
718697,2023-04-05,ATL,718711.0,718727.0,718743.0,718753.0,718780.0,,,,,
718681,2023-04-06,ATL,718697.0,718711.0,718727.0,718743.0,718753.0,718780.0,,,,
718676,2023-04-07,ATL,718681.0,718697.0,718711.0,718727.0,718743.0,718753.0,718780.0,,,
718659,2023-04-08,ATL,718676.0,718681.0,718697.0,718711.0,718727.0,718743.0,718753.0,718780.0,,
718648,2023-04-09,ATL,718659.0,718676.0,718681.0,718697.0,718711.0,718727.0,718743.0,718753.0,718780.0,
718636,2023-04-10,ATL,718648.0,718659.0,718676.0,718681.0,718697.0,718711.0,718727.0,718743.0,718753.0,718780.0
718620,2023-04-11,ATL,718636.0,718648.0,718659.0,718676.0,718681.0,718697.0,718711.0,718727.0,718743.0,718753.0
718601,2023-04-12,ATL,718620.0,718636.0,718648.0,718659.0,718676.0,718681.0,718697.0,718711.0,718727.0,718743.0
718579,2023-04-14,ATL,718601.0,718620.0,718636.0,718648.0,718659.0,718676.0,718681.0,718697.0,718711.0,718727.0
718563,2023-04-15,ATL,718579.0,718601.0,718620.0,718636.0,718648.0,718659.0,718676.0,718681.0,718697.0,718711.0
718551,2023-04-16,ATL,718563.0,718579.0,718601.0,718620.0,718636.0,718648.0,718659.0,718676.0,718681.0,718697.0
718533,2023-04-17,ATL,718551.0,718563.0,718579.0,718601.0,718620.0,718636.0,718648.0,718659.0,718676.0,718681.0
718519,2023-04-18,ATL,718533.0,718551.0,718563.0,718579.0,718601.0,718620.0,718636.0,718648.0,718659.0,718676.0
718507,2023-04-19,ATL,718519.0,718533.0,718551.0,718563.0,718579.0,718601.0,718620.0,718636.0,718648.0,718659.0
718489,2023-04-21,ATL,718507.0,718519.0,718533.0,718551.0,718563.0,718579.0,718601.0,718620.0,718636.0,718648.0
718471,2023-04-22,ATL,718489.0,718507.0,718519.0,718533.0,718551.0,718563.0,718579.0,718601.0,718620.0,718636.0
718462,2023-04-23,ATL,718471.0,718489.0,718507.0,718519.0,718533.0,718551.0,718563.0,718579.0,718601.0,718620.0
718443,2023-04-24,ATL,718462.0,718471.0,718489.0,718507.0,718519.0,718533.0,718551.0,718563.0,718579.0,718601.0
718429,2023-04-25,ATL,718443.0,718462.0,718471.0,718489.0,718507.0,718519.0,718533.0,718551.0,718563.0,718579.0
