,game_sequence,game_pk,team,is_home,pitcher,n_pitches,ip,er,k,bb,h
0,1,718767,SEA,False,622491,76,6.0,0.0,6,0,1
1,1,718767,CLE,False,669456,87,6.0,0.0,3,0,6
2,2,718782,BOS,False,446372,80,3.33,5.0,4,4,6
3,2,718782,BAL,False,502043,79,5.0,4.0,3,1,6
4,3,718780,WSH,False,571578,85,3.0,2.0,3,3,7
5,3,718780,ATL,False,608331,43,3.33,1.0,2,0,4
6,4,718779,TEX,False,594798,73,3.67,5.0,7,0,6
7,4,718779,PHI,False,605400,72,3.67,5.0,4,2,4
8,5,718778,SD,False,605483,93,4.33,3.0,9,1,6
9,5,718778,COL,False,608566,87,6.0,2.0,5,0,5
10,6,718777,CHC,False,573186,90,6.0,0.0,8,3,3
11,6,718777,MIL,False,669203,87,5.0,4.0,3,3,4
12,7,718776,TB,False,663556,87,6.0,0.0,6,1,4
13,7,718776,DET,False,593958,88,5.33,3.0,5,2,3
14,8,718781,NYY,False,543037,95,6.0,0.0,11,2,3
15,8,718781,SF,False,657277,92,6.0,4.0,12,2,4
16,9,718774,MIA,False,645261,96,5.67,3.0,2,4,3
17,9,718774,NYM,False,453286,91,6.0,3.0,6,2,4
18,10,718773,CIN,False,668881,83,3.33,3.0,8,3,5
19,10,718773,PIT,False,656605,100,4.67,4.0,8,4,5
20,11,718772,STL,False,571945,90,3.33,5.0,6,0,10
21,11,718772,TOR,False,666201,85,3.33,5.0,3,2,9
22,12,718770,LAD,False,628711,79,6.0,2.0,6,0,4
23,12,718770,AZ,False,668678,89,4.67,5.0,7,3,6
24,13,718769,OAK,False,666205,72,5.0,1.0,3,1,4
25,13,718769,LAA,False,660271,93,6.0,0.0,10,3,2
26,14,718768,HOU,False,664285,85,5.0,0.0,4,0,6
27,14,718768,CWS,False,656302,86,6.33,1.0,10,0,2
28,15,718775,KC,False,425844,80,5.33,2.0,4,1,7
29,15,718775,MIN,False,641154,85,5.33,0.0,8,3,2
30,16,718771,MIA,False,666200,91,5.67,0.0,5,4,2
31,16,718771,NYM,False,656849,84,5.0,1.0,5,1,8
32,17,718766,SD,False,607259,101,7.0,4.0,5,2,6
33,17,718766,COL,False,607536,74,6.0,0.0,1,1,3
34,18,718765,LAD,False,669160,84,7.0,0.0,4,1,3
35,18,718765,AZ,False,518876,74,3.67,0.0,4,4,3
36,19,718763,SEA,False,592662,91,3.33,3.0,3,5,4
37,19,718763,CLE,False,683769,70,3.67,4.0,4,1,5
38,20,718764,HOU,False,664299,82,5.0,3.0,6,1,8
39,20,718764,CWS,False,458681,96,5.67,2.0,6,4,3
40,21,718757,OAK,False,660261,55,2.33,8.0,4,3,5
41,21,718757,LAA,False,663776,86,5.0,1.0,2,2,2
42,22,718762,NYY,False,657376,76,3.33,3.0,5,1,5
43,22,718762,SF,False,502171,76,3.67,1.0,6,1,4
44,23,718761,BOS,False,519242,74,3.0,7.0,6,2,7
45,23,718761,BAL,False,665152,56,3.0,5.0,3,1,6
46,24,718760,HOU,False,664353,82,4.0,3.0,5,1,7
47,24,718760,CWS,False,608337,97,5.0,2.0,6,1,5
48,25,718759,STL,False,656427,95,5.0,0.0,4,7,0
49,25,718759,TOR,False,592332,90,6.0,0.0,7,1,8
50,26,718758,CHC,False,657006,84,6.0,0.0,8,1,3
51,26,718758,MIL,False,605540,97,6.0,1.0,8,1,3
52,27,718756,CIN,False,666157,109,5.0,2.0,9,2,7
53,27,718756,PIT,False,448179,84,5.0,3.0,7,2,3
54,28,718746,SEA,False,669302,85,6.0,1.0,7,1,4
55,28,718746,CLE,False,650644,80,7.0,0.0,3,1,2
56,29,718754,TB,False,621107,74,5.0,1.0,5,1,3
57,29,718754,DET,False,605513,63,2.33,7.0,3,3,8
58,30,718753,WSH,False,680686,87,5.0,5.0,4,2,7
59,30,718753,ATL,False,675911,96,6.0,0.0,9,3,3
60,31,718752,TEX,False,543135,82,5.0,3.0,6,2,6
61,31,718752,PHI,False,554430,94,4.33,4.0,7,1,7
62,32,718751,KC,False,543475,86,5.33,1.0,2,2,5
63,32,718751,MIN,False,543243,83,5.0,0.0,1,4,3
64,33,718750,SD,False,608379,83,6.0,4.0,2,3,6
65,33,718750,COL,False,570632,71,2.33,4.0,0,4,5
66,34,718749,LAD,False,477132,76,6.0,1.0,9,0,4
67,34,718749,AZ,False,518516,85,4.0,5.0,2,4,4
68,35,718755,MIA,False,665795,85,4.0,2.0,2,6,2
69,35,718755,NYM,False,656731,93,5.0,2.0,7,2,6
70,36,718742,TB,False,605488,81,6.0,0.0,12,1,0
71,36,718742,DET,False,666214,72,5.33,3.0,3,1,4
72,37,718748,BOS,False,656557,70,5.0,3.0,5,1,5
73,37,718748,BAL,False,608344,88,4.0,6.0,4,2,8
74,38,718747,NYY,False,666745,76,5.0,0.0,6,1,2
75,38,718747,SF,False,548389,95,5.0,4.0,3,2,6
76,39,718745,KC,False,641745,88,4.67,2.0,6,4,5
77,39,718745,MIN,False,657746,80,6.0,1.0,6,2,3
78,40,718744,CIN,False,668933,95,7.0,1.0,6,1,4
79,40,718744,PIT,False,592826,86,4.67,3.0,3,1,5
80,41,718743,WSH,False,669022,93,5.33,1.0,6,4,3
81,41,718743,ATL,False,694363,79,4.67,4.0,1,5,6
82,42,718741,MIA,False,669432,84,4.33,3.0,4,2,4
83,42,718741,NYM,False,673540,88,5.33,1.0,8,3,3
84,43,718733,SD,False,607625,93,7.0,1.0,7,0,4
85,43,718733,COL,False,596295,79,6.0,3.0,4,1,4
86,44,718739,TEX,False,527048,98,5.67,1.0,7,3,8
87,44,718739,PHI,False,663559,72,5.33,2.0,3,0,7
88,45,718738,CHC,False,592791,63,4.0,3.0,2,1,7
89,45,718738,MIL,False,641778,89,5.33,2.0,6,2,5
90,46,718737,STL,False,656756,91,5.0,3.0,3,1,6
91,46,718737,TOR,False,605135,57,3.33,9.0,0,0,10
92,47,718736,LAD,False,592789,78,6.0,1.0,6,0,4
93,47,718736,AZ,False,605200,83,5.0,1.0,4,2,4
94,48,718735,SEA,False,594835,69,5.0,4.0,1,2,6
95,48,718735,CLE,False,615698,89,4.67,4.0,3,2,8
96,49,718734,OAK,False,686610,96,5.67,6.0,4,1,9
97,49,718734,LAA,False,542881,93,6.0,0.0,4,2,4
98,50,718740,HOU,False,677651,91,5.0,3.0,4,2,7
99,50,718740,CWS,False,605182,98,5.0,0.0,8,3,3
100,51,718732,WSH,False,592866,93,5.0,3.0,3,1,6
101,51,718732,TB,False,656876,66,6.0,0.0,7,0,2
102,52,718731,MIL,False,642547,85,6.0,0.0,7,3,2
103,52,718731,NYM,False,471911,96,4.0,5.0,4,4,4
104,53,718730,CWS,False,656629,91,4.67,7.0,5,3,8
105,53,718730,SF,False,543101,73,6.0,0.0,4,0,3
