game_pk,pitcher,np,ip,k,hits,bb
718767,669456,87.0,6.0,3.0,6.0,0.0
718768,656302,86.0,7.0,10.0,2.0,0.0
718769,660271,93.0,6.0,10.0,2.0,3.0
718770,668678,89.0,5.0,7.0,6.0,3.0
718772,666201,85.0,4.0,3.0,9.0,2.0
718773,656605,100.0,5.0,8.0,5.0,4.0
718774,453286,91.0,6.0,6.0,4.0,2.0
718775,641154,85.0,6.0,8.0,2.0,3.0
718776,593958,88.0,6.0,5.0,3.0,2.0
718777,669203,87.0,5.0,3.0,4.0,3.0
718778,608566,87.0,6.0,5.0,5.0,0.0
718779,605400,72.0,4.0,4.0,4.0,2.0
718780,608331,43.0,4.0,2.0,4.0,0.0
718781,657277,92.0,7.0,12.0,4.0,2.0
718782,502043,79.0,6.0,3.0,6.0,1.0
718763,683769,70.0,4.0,4.0,5.0,1.0
718764,458681,96.0,6.0,6.0,3.0,4.0
718765,518876,74.0,4.0,4.0,3.0,4.0
718766,607536,74.0,6.0,1.0,3.0,1.0
718771,656849,84.0,5.0,5.0,8.0,1.0
718746,650644,80.0,7.0,3.0,2.0,1.0
718749,518516,85.0,4.0,2.0,4.0,4.0
718750,570632,71.0,3.0,0.0,5.0,4.0
718751,543243,83.0,5.0,1.0,3.0,4.0
718752,554430,94.0,5.0,7.0,7.0,1.0
718753,675911,96.0,6.0,9.0,3.0,3.0
718754,605513,63.0,3.0,3.0,8.0,3.0
718755,656731,93.0,5.0,7.0,6.0,2.0
718756,448179,84.0,5.0,7.0,3.0,2.0
718757,663776,86.0,5.0,2.0,2.0,2.0
718758,605540,97.0,6.0,8.0,3.0,1.0
718759,592332,90.0,6.0,7.0,8.0,1.0
718760,608337,97.0,5.0,6.0,5.0,1.0
718761,665152,56.0,3.0,3.0,6.0,1.0
718762,502171,76.0,4.0,6.0,4.0,1.0
718733,596295,79.0,6.0,4.0,4.0,1.0
718734,542881,93.0,6.0,4.0,4.0,2.0
718735,615698,89.0,5.0,3.0,8.0,2.0
718736,605200,83.0,5.0,4.0,4.0,2.0
718737,605135,57.0,4.0,0.0,10.0,0.0
718738,641778,89.0,6.0,6.0,5.0,2.0
718739,663559,72.0,6.0,3.0,7.0,0.0
718740,605182,98.0,5.0,8.0,3.0,3.0
718741,673540,88.0,6.0,8.0,3.0,3.0
718742,666214,72.0,6.0,3.0,4.0,1.0
718743,694363,79.0,5.0,1.0,6.0,5.0
718744,592826,86.0,5.0,3.0,5.0,1.0
718745,657746,80.0,6.0,6.0,3.0,2.0
718747,548389,95.0,5.0,3.0,6.0,2.0
718748,608344,88.0,5.0,4.0,8.0,2.0
718718,663372,92.0,5.0,7.0,4.0,5.0
718719,621244,89.0,6.0,7.0,9.0,2.0
718720,672282,89.0,5.0,7.0,4.0,3.0
718721,668676,53.0,2.0,1.0,7.0,1.0
718722,669194,97.0,5.0,3.0,6.0,3.0
718723,571510,76.0,5.0,3.0,2.0,3.0
718724,670912,94.0,5.0,4.0,6.0,3.0
718725,592836,87.0,5.0,5.0,4.0,3.0
718726,680694,28.0,2.0,2.0,1.0,1.0
718727,450203,81.0,6.0,1.0,9.0,2.0
718728,592767,93.0,5.0,3.0,9.0,2.0
718729,641816,83.0,5.0,7.0,5.0,1.0
718730,543101,73.0,6.0,4.0,3.0,0.0
718731,471911,96.0,5.0,4.0,4.0,4.0
718732,656876,66.0,6.0,7.0,2.0,0.0
718703,608566,95.0,6.0,4.0,5.0,2.0
718705,666159,89.0,6.0,4.0,6.0,2.0
718706,660761,77.0,5.0,4.0,8.0,0.0
718707,669456,89.0,6.0,7.0,3.0,1.0
718708,579328,69.0,5.0,2.0,3.0,1.0
718709,502043,88.0,7.0,5.0,6.0,0.0
718710,621381,61.0,4.0,3.0,1.0,1.0
718711,689266,73.0,5.0,3.0,6.0,0.0
718712,453286,95.0,6.0,2.0,8.0,2.0
718713,672710,78.0,6.0,2.0,3.0,1.0
718714,628317,79.0,6.0,9.0,3.0,0.0
718715,676596,71.0,4.0,2.0,10.0,1.0
718716,669713,87.0,5.0,4.0,6.0,2.0
718717,668678,86.0,6.0,2.0,7.0,1.0
718689,683769,77.0,6.0,4.0,1.0,2.0
718691,660271,111.0,6.0,8.0,3.0,4.0
718692,666201,98.0,7.0,5.0,1.0,4.0
718694,680570,83.0,5.0,5.0,4.0,1.0
718695,657277,81.0,5.0,4.0,9.0,0.0
718696,593958,95.0,5.0,1.0,6.0,2.0
718697,693821,79.0,6.0,6.0,2.0,3.0
718698,656849,92.0,5.0,5.0,5.0,5.0
718699,605400,87.0,7.0,5.0,7.0,1.0
718701,641154,88.0,7.0,8.0,3.0,1.0
718702,656605,107.0,7.0,7.0,4.0,2.0
718704,663556,94.0,6.0,6.0,5.0,4.0
718681,605483,88.0,4.0,2.0,6.0,4.0
718682,680686,102.0,6.0,6.0,8.0,1.0
718683,669160,83.0,6.0,5.0,2.0,2.0
718686,592332,86.0,7.0,7.0,4.0,2.0
718687,622072,71.0,4.0,3.0,6.0,2.0
718690,519242,74.0,5.0,7.0,4.0,3.0
718670,605135,109.0,6.0,5.0,3.0,5.0
718671,477132,91.0,6.0,4.0,7.0,2.0
718673,669022,98.0,6.0,6.0,5.0,2.0
718674,656427,94.0,5.0,3.0,4.0,6.0
718675,543135,89.0,6.0,6.0,5.0,1.0
718676,607259,101.0,5.0,4.0,4.0,5.0
718677,669302,81.0,4.0,6.0,6.0,2.0
718678,686610,71.0,3.0,3.0,8.0,3.0
718679,608337,77.0,4.0,3.0,12.0,0.0
718680,641745,94.0,6.0,3.0,3.0,3.0
718684,664353,95.0,6.0,6.0,7.0,1.0
718685,668881,93.0,5.0,5.0,5.0,3.0
718688,657376,84.0,4.0,3.0,5.0,3.0
718693,665795,85.0,3.0,4.0,0.0,7.0
718656,592789,72.0,4.0,2.0,8.0,0.0
718657,621244,71.0,5.0,5.0,6.0,1.0
718658,592866,88.0,6.0,4.0,5.0,0.0
718659,608379,95.0,6.0,10.0,2.0,1.0
718660,656756,100.0,7.0,9.0,3.0,2.0
718661,669432,92.0,5.0,5.0,4.0,2.0
718662,605182,88.0,6.0,1.0,8.0,2.0
718663,594835,93.0,6.0,5.0,6.0,3.0
718664,666745,92.0,5.0,2.0,3.0,2.0
718665,660261,79.0,5.0,1.0,3.0,4.0
718666,677651,86.0,4.0,4.0,6.0,3.0
718667,656557,74.0,5.0,4.0,3.0,2.0
718668,666157,106.0,7.0,12.0,3.0,1.0
718669,527048,90.0,5.0,5.0,5.0,0.0
718672,663903,79.0,6.0,4.0,8.0,0.0
718639,675627,66.0,4.0,4.0,12.0,1.0
718642,592351,100.0,6.0,4.0,6.0,3.0
718643,663460,76.0,6.0,9.0,2.0,0.0
718644,579328,99.0,5.0,6.0,9.0,1.0
718645,641771,89.0,6.0,3.0,6.0,3.0
718646,669923,96.0,6.0,4.0,5.0,0.0
718647,666129,85.0,5.0,7.0,9.0,1.0
718648,607625,109.0,6.0,5.0,5.0,4.0
718649,686613,97.0,7.0,7.0,2.0,2.0
718650,663765,87.0,5.0,5.0,6.0,1.0
718651,641482,91.0,6.0,5.0,4.0,2.0
718652,656818,65.0,5.0,4.0,6.0,3.0
718653,656629,102.0,6.0,5.0,2.0,3.0
718654,676710,65.0,5.0,6.0,5.0,0.0
718655,621076,106.0,5.0,6.0,7.0,3.0
718627,489119,90.0,5.0,3.0,5.0,3.0
718628,622491,93.0,6.0,5.0,6.0,2.0
718629,571927,92.0,6.0,4.0,9.0,2.0
718630,425844,89.0,5.0,3.0,6.0,1.0
718631,571578,86.0,5.0,3.0,7.0,3.0
718632,664285,107.0,7.0,5.0,3.0,5.0
718633,645261,77.0,5.0,4.0,10.0,1.0
718634,506433,104.0,7.0,5.0,6.0,1.0
718635,676664,90.0,5.0,4.0,3.0,1.0
718636,668933,97.0,7.0,7.0,6.0,3.0
718637,593334,87.0,4.0,0.0,2.0,5.0
718638,601713,83.0,5.0,6.0,3.0,2.0
718640,656302,98.0,5.0,6.0,3.0,2.0
718641,628711,96.0,6.0,8.0,4.0,2.0
718611,669203,89.0,8.0,8.0,3.0,0.0
718613,571945,89.0,5.0,3.0,10.0,2.0
718614,680686,103.0,6.0,3.0,4.0,2.0
718615,543475,92.0,7.0,4.0,8.0,2.0
718616,458681,98.0,6.0,10.0,7.0,0.0
718617,623167,74.0,3.0,1.0,10.0,2.0
718618,666205,87.0,5.0,3.0,7.0,3.0
718619,666200,98.0,6.0,5.0,8.0,1.0
718620,570666,71.0,4.0,1.0,7.0,2.0
718621,677960,89.0,5.0,3.0,3.0,2.0
718622,666159,85.0,6.0,3.0,6.0,1.0
718623,664299,96.0,6.0,3.0,5.0,1.0
718624,669160,77.0,6.0,3.0,2.0,4.0
718625,676477,85.0,5.0,5.0,8.0,0.0
718626,543037,97.0,7.0,3.0,5.0,2.0
718595,641745,105.0,7.0,7.0,3.0,1.0
718598,676083,79.0,5.0,2.0,7.0,2.0
718599,686610,107.0,7.0,4.0,5.0,3.0
718600,519242,81.0,4.0,6.0,7.0,2.0
718601,668881,101.0,6.0,10.0,7.0,0.0
718602,669022,88.0,4.0,6.0,4.0,4.0
718603,593958,96.0,6.0,3.0,7.0,1.0
718604,657376,72.0,4.0,3.0,6.0,1.0
718605,608337,108.0,6.0,7.0,5.0,2.0
718606,669302,94.0,7.0,7.0,4.0,1.0
718607,656427,85.0,6.0,6.0,5.0,1.0
718608,664353,93.0,6.0,2.0,2.0,3.0
718609,665795,82.0,5.0,4.0,7.0,1.0
718610,605483,100.0,6.0,5.0,6.0,5.0
718612,477132,100.0,6.0,4.0,5.0,2.0
718589,607067,83.0,6.0,6.0,2.0,1.0
718590,657746,92.0,7.0,10.0,3.0,0.0
718591,592826,95.0,6.0,6.0,3.0,2.0
718593,605513,88.0,5.0,6.0,6.0,1.0
718594,446372,76.0,5.0,7.0,4.0,1.0
718596,670124,81.0,3.0,2.0,8.0,1.0
718597,663559,94.0,5.0,4.0,8.0,1.0
718574,641778,94.0,6.0,5.0,5.0,2.0
718575,657006,101.0,7.0,8.0,3.0,1.0
718577,596295,86.0,4.0,2.0,6.0,4.0
718578,673540,96.0,5.0,7.0,7.0,4.0
718579,450203,89.0,6.0,5.0,6.0,2.0
718580,663776,90.0,4.0,6.0,3.0,3.0
718581,527048,90.0,6.0,4.0,5.0,4.0
718582,670912,93.0,7.0,10.0,6.0,1.0
718583,669330,85.0,6.0,3.0,5.0,1.0
718584,518516,82.0,5.0,1.0,9.0,1.0
718585,640455,82.0,4.0,4.0,4.0,1.0
718586,592836,98.0,6.0,4.0,4.0,2.0
718587,656876,93.0,5.0,4.0,8.0,4.0
718588,686973,83.0,6.0,8.0,6.0,1.0
718592,615698,104.0,6.0,3.0,6.0,2.0
718560,642547,98.0,5.0,5.0,9.0,1.0
718561,663372,75.0,4.0,5.0,5.0,3.0
718562,592351,29.0,3.0,2.0,1.0,1.0
