,game_pk,away_team,away_sp,np,ip,er,k,bb,h
0,718767,CLE,669456,87,6.0,0.0,3,0,6
1,718782,BAL,502043,79,5.0,4.0,3,1,6
2,718780,ATL,608331,43,3.33,1.0,2,0,4
3,718779,PHI,605400,72,3.67,5.0,4,2,4
4,718778,COL,608566,87,6.0,2.0,5,0,5
5,718777,MIL,669203,87,5.0,4.0,3,3,4
6,718776,DET,593958,88,5.33,3.0,5,2,3
7,718781,SF,657277,92,6.0,4.0,12,2,4
8,718774,NYM,453286,91,6.0,3.0,6,2,4
9,718773,PIT,656605,100,4.67,4.0,8,4,5
10,718772,TOR,666201,85,3.33,5.0,3,2,9
11,718770,AZ,668678,89,4.67,5.0,7,3,6
12,718769,LAA,660271,93,6.0,0.0,10,3,2
13,718768,CWS,656302,86,6.33,1.0,10,0,2
14,718775,MIN,641154,85,5.33,0.0,8,3,2
15,718771,NYM,656849,84,5.0,1.0,5,1,8
16,718766,COL,607536,74,6.0,0.0,1,1,3
17,718765,AZ,518876,74,3.67,0.0,4,4,3
18,718763,CLE,683769,70,3.67,4.0,4,1,5
19,718764,CWS,458681,96,5.67,2.0,6,4,3
20,718757,LAA,663776,86,5.0,1.0,2,2,2
21,718762,SF,502171,76,3.67,1.0,6,1,4
22,718761,BAL,665152,56,3.0,5.0,3,1,6
23,718760,CWS,608337,97,5.0,2.0,6,1,5
24,718759,TOR,592332,90,6.0,0.0,7,1,8
25,718758,MIL,605540,97,6.0,1.0,8,1,3
26,718756,PIT,448179,84,5.0,3.0,7,2,3
27,718746,CLE,650644,80,7.0,0.0,3,1,2
28,718754,DET,605513,63,2.33,7.0,3,3,8
29,718753,ATL,675911,96,6.0,0.0,9,3,3
30,718752,PHI,554430,94,4.33,4.0,7,1,7
31,718751,MIN,543243,83,5.0,0.0,1,4,3
32,718750,COL,570632,71,2.33,4.0,0,4,5
33,718749,AZ,518516,85,4.0,5.0,2,4,4
34,718755,NYM,656731,93,5.0,2.0,7,2,6
35,718742,DET,666214,72,5.33,3.0,3,1,4
36,718748,BAL,608344,88,4.0,6.0,4,2,8
37,718747,SF,548389,95,5.0,4.0,3,2,6
38,718745,MIN,657746,80,6.0,1.0,6,2,3
39,718744,PIT,592826,86,4.67,3.0,3,1,5
40,718743,ATL,694363,79,4.67,4.0,1,5,6
41,718741,NYM,673540,88,5.33,1.0,8,3,3
42,718733,COL,596295,79,6.0,3.0,4,1,4
43,718739,PHI,663559,72,5.33,2.0,3,0,7
44,718738,MIL,641778,89,5.33,2.0,6,2,5
45,718737,TOR,605135,57,3.33,9.0,0,0,10
46,718736,AZ,605200,83,5.0,1.0,4,2,4
47,718735,CLE,615698,89,4.67,4.0,3,2,8
48,718734,LAA,542881,93,6.0,0.0,4,2,4
49,718740,CWS,605182,98,5.0,0.0,8,3,3
50,718732,TB,656876,66,6.0,0.0,7,0,2
51,718731,NYM,471911,96,4.0,5.0,4,4,4
52,718730,SF,543101,73,6.0,0.0,4,0,3
53,718729,MIN,641816,83,5.0,1.0,7,1,5
54,718728,CHC,592767,93,4.67,6.0,3,2,9
55,718727,ATL,450203,81,5.33,3.0,1,2,9
56,718726,BAL,680694,28,1.67,0.0,2,1,1
57,718724,PIT,670912,94,4.67,4.0,4,4,6
58,718723,DET,571510,76,4.33,2.0,3,3,2
59,718722,AZ,669194,97,5.0,3.0,3,3,6
60,718721,CLE,668676,53,1.0,6.0,1,1,7
