game_pk,pitcher,np,ip,k,hits,bb
718767,622491,76.0,6.0,6.0,1.0,0.0
718768,664285,85.0,5.0,4.0,6.0,0.0
718769,666205,72.0,5.0,3.0,4.0,1.0
718770,628711,79.0,6.0,6.0,4.0,0.0
718772,571945,90.0,4.0,6.0,10.0,0.0
718773,668881,83.0,4.0,8.0,5.0,3.0
718774,645261,96.0,6.0,2.0,3.0,4.0
718775,425844,80.0,6.0,4.0,7.0,1.0
718776,663556,87.0,6.0,6.0,4.0,1.0
718777,573186,90.0,6.0,8.0,3.0,3.0
718778,605483,93.0,5.0,9.0,6.0,1.0
718779,594798,73.0,4.0,7.0,6.0,0.0
718780,571578,85.0,4.0,3.0,7.0,3.0
718781,543037,95.0,6.0,11.0,3.0,2.0
718782,446372,80.0,4.0,4.0,6.0,4.0
718763,592662,91.0,4.0,3.0,4.0,5.0
718764,664299,82.0,6.0,6.0,8.0,1.0
718765,669160,84.0,7.0,4.0,3.0,1.0
718766,607259,101.0,7.0,5.0,6.0,2.0
718771,666200,91.0,6.0,5.0,2.0,4.0
718746,669302,85.0,6.0,7.0,4.0,1.0
718749,477132,76.0,6.0,9.0,4.0,0.0
718750,608379,83.0,6.0,2.0,6.0,3.0
718751,543475,86.0,6.0,2.0,5.0,2.0
718752,543135,82.0,5.0,6.0,6.0,2.0
718753,680686,87.0,5.0,4.0,7.0,2.0
718754,621107,74.0,5.0,5.0,3.0,1.0
718755,665795,85.0,4.0,2.0,2.0,6.0
718756,666157,109.0,5.0,9.0,7.0,2.0
718757,660261,55.0,3.0,4.0,5.0,3.0
718758,657006,84.0,6.0,8.0,3.0,1.0
718759,656427,95.0,5.0,4.0,0.0,7.0
718760,664353,82.0,4.0,5.0,7.0,1.0
718761,519242,74.0,3.0,6.0,7.0,2.0
718762,657376,76.0,4.0,5.0,5.0,1.0
718733,607625,93.0,7.0,7.0,4.0,0.0
718734,686610,96.0,6.0,4.0,9.0,1.0
718735,594835,69.0,5.0,1.0,6.0,2.0
718736,592789,78.0,7.0,6.0,4.0,0.0
718737,656756,91.0,5.0,3.0,6.0,1.0
718738,592791,63.0,4.0,2.0,7.0,1.0
718739,527048,98.0,6.0,7.0,8.0,3.0
718740,677651,91.0,6.0,4.0,7.0,2.0
718741,669432,84.0,5.0,4.0,4.0,2.0
718742,605488,81.0,6.0,12.0,0.0,1.0
718743,669022,93.0,6.0,6.0,3.0,4.0
718744,668933,95.0,7.0,6.0,4.0,1.0
718745,641745,88.0,5.0,6.0,5.0,4.0
718747,666745,76.0,5.0,6.0,2.0,1.0
718748,656557,70.0,5.0,5.0,5.0,1.0
718718,675627,63.0,5.0,4.0,2.0,2.0
718719,663903,76.0,5.0,3.0,2.0,3.0
718720,669923,84.0,5.0,5.0,9.0,1.0
718721,621076,89.0,5.0,5.0,7.0,2.0
718722,677960,90.0,5.0,2.0,5.0,1.0
718723,686613,93.0,5.0,5.0,6.0,3.0
718724,676710,93.0,4.0,6.0,8.0,2.0
718725,641482,80.0,5.0,3.0,7.0,0.0
718726,592351,97.0,7.0,7.0,4.0,2.0
718727,663765,95.0,5.0,3.0,7.0,3.0
718728,656818,80.0,5.0,5.0,8.0,1.0
718729,456501,30.0,2.0,0.0,3.0,1.0
718730,656629,91.0,5.0,5.0,8.0,3.0
718731,642547,85.0,6.0,7.0,2.0,3.0
718732,592866,93.0,5.0,3.0,6.0,1.0
718703,628711,87.0,6.0,5.0,5.0,0.0
718705,664285,103.0,7.0,9.0,8.0,1.0
718706,622491,99.0,6.0,6.0,2.0,2.0
718707,676664,98.0,5.0,5.0,8.0,1.0
718708,663460,88.0,5.0,4.0,7.0,1.0
718709,571760,69.0,3.0,2.0,7.0,2.0
718710,593334,75.0,5.0,8.0,4.0,0.0
718711,571927,94.0,6.0,7.0,10.0,1.0
718712,489119,79.0,6.0,3.0,5.0,0.0
718713,601713,87.0,5.0,6.0,3.0,3.0
718714,645261,100.0,9.0,5.0,3.0,1.0
718715,641771,81.0,5.0,4.0,4.0,1.0
718716,570666,83.0,6.0,2.0,4.0,3.0
718717,506433,91.0,5.0,3.0,3.0,4.0
718689,666205,95.0,6.0,5.0,4.0,2.0
718691,623167,91.0,5.0,4.0,2.0,2.0
718692,425844,77.0,6.0,4.0,7.0,1.0
718694,594798,92.0,6.0,11.0,2.0,2.0
718695,656302,99.0,5.0,8.0,1.0,5.0
718696,664299,99.0,6.0,5.0,5.0,0.0
718697,571945,98.0,6.0,6.0,9.0,1.0
718698,669203,93.0,5.0,3.0,7.0,2.0
718699,543037,103.0,7.0,8.0,3.0,2.0
718701,666200,99.0,7.0,10.0,5.0,1.0
718702,446372,67.0,5.0,2.0,3.0,1.0
718704,571578,92.0,6.0,3.0,10.0,0.0
718681,675911,101.0,5.0,9.0,4.0,3.0
718682,607536,86.0,7.0,5.0,4.0,2.0
718683,518876,99.0,6.0,4.0,6.0,4.0
718686,543475,106.0,6.0,9.0,8.0,0.0
718687,458681,99.0,5.0,5.0,9.0,3.0
718690,605513,72.0,6.0,1.0,5.0,2.0
718670,663776,89.0,6.0,2.0,6.0,1.0
718671,518516,103.0,5.0,5.0,5.0,6.0
718673,570632,71.0,3.0,1.0,7.0,3.0
718674,605540,84.0,6.0,4.0,4.0,2.0
718675,573186,89.0,6.0,6.0,2.0,3.0
718676,694363,91.0,5.0,4.0,6.0,4.0
718677,650644,103.0,6.0,5.0,9.0,1.0
718678,621107,82.0,6.0,7.0,9.0,0.0
718679,448179,65.0,5.0,1.0,8.0,0.0
718680,502171,97.0,7.0,6.0,7.0,0.0
718684,543243,98.0,7.0,13.0,4.0,1.0
718685,554430,92.0,6.0,5.0,5.0,3.0
718688,665152,87.0,6.0,4.0,5.0,3.0
718693,656731,88.0,6.0,3.0,3.0,2.0
718656,605200,86.0,5.0,3.0,5.0,4.0
718657,542881,88.0,5.0,4.0,7.0,2.0
718658,596295,82.0,5.0,5.0,7.0,1.0
718659,450203,104.0,5.0,6.0,6.0,3.0
