,game_pk,home_team,home_sp,np,ip,er,k,bb,h
0,718767,SEA,622491,76,6.0,0.0,6,0,1
1,718782,BOS,446372,80,3.33,5.0,4,4,6
2,718780,WSH,571578,85,3.0,2.0,3,3,7
3,718779,TEX,594798,73,3.67,5.0,7,0,6
4,718778,SD,605483,93,4.33,3.0,9,1,6
5,718777,CHC,573186,90,6.0,0.0,8,3,3
6,718776,TB,663556,87,6.0,0.0,6,1,4
7,718781,NYY,543037,95,6.0,0.0,11,2,3
8,718774,MIA,645261,96,5.67,3.0,2,4,3
9,718773,CIN,668881,83,3.33,3.0,8,3,5
10,718772,STL,571945,90,3.33,5.0,6,0,10
11,718770,LAD,628711,79,6.0,2.0,6,0,4
12,718769,OAK,666205,72,5.0,1.0,3,1,4
13,718768,HOU,664285,85,5.0,0.0,4,0,6
14,718775,KC,425844,80,5.33,2.0,4,1,7
15,718771,MIA,666200,91,5.67,0.0,5,4,2
16,718766,SD,607259,101,7.0,4.0,5,2,6
17,718765,LAD,669160,84,7.0,0.0,4,1,3
18,718763,SEA,592662,91,3.33,3.0,3,5,4
19,718764,HOU,664299,82,5.0,3.0,6,1,8
20,718757,OAK,660261,55,2.33,8.0,4,3,5
21,718762,NYY,657376,76,3.33,3.0,5,1,5
22,718761,BOS,519242,74,3.0,7.0,6,2,7
23,718760,HOU,664353,82,4.0,3.0,5,1,7
24,718759,STL,656427,95,5.0,0.0,4,7,0
25,718758,CHC,657006,84,6.0,0.0,8,1,3
26,718756,CIN,666157,109,5.0,2.0,9,2,7
27,718746,SEA,669302,85,6.0,1.0,7,1,4
28,718754,TB,621107,74,5.0,1.0,5,1,3
29,718753,WSH,680686,87,5.0,5.0,4,2,7
30,718752,TEX,543135,82,5.0,3.0,6,2,6
31,718751,KC,543475,86,5.33,1.0,2,2,5
32,718750,SD,608379,83,6.0,4.0,2,3,6
33,718749,LAD,477132,76,6.0,1.0,9,0,4
34,718755,MIA,665795,85,4.0,2.0,2,6,2
35,718742,TB,605488,81,6.0,0.0,12,1,0
36,718748,BOS,656557,70,5.0,3.0,5,1,5
37,718747,NYY,666745,76,5.0,0.0,6,1,2
38,718745,KC,641745,88,4.67,2.0,6,4,5
39,718744,CIN,668933,95,7.0,1.0,6,1,4
